timestamp,contact,latitude,longitude,altitude_m,voltage_v,luminosity_lux,temperature_1_c,temperature_2_c,humidity_percent,barometer_hpa,lpp_hex
2026-09-09T19:19:30+02:00,GaucsFig2,45.734100,11.374300,234.30,3.76,27,21.6,23.7,,,01740178018806fa7d01bc4f005b860165001b016700d8016700ed00
2026-09-09T19:19:45+02:00,GaucsFig2,45.734100,11.374300,235.90,3.75,27,21.8,22.5,,,01740177018806fa7d01bc4f005c260165001b016700da016700e100
2026-09-09T19:20:00+02:00,GaucsFig2,45.734100,11.374300,238.20,3.76,26,21.6,22.2,,,01740178018806fa7d01bc4f005d0c0165001a016700d8016700de00
2026-09-09T19:20:15+02:00,GaucsFig2,45.734100,11.374400,239.60,3.75,24,21.5,22.2,,,01740177018806fa7d01bc50005d9801650018016700d7016700de00
2026-09-09T19:20:30+02:00,GaucsFig2,45.734100,11.374400,239.70,3.76,23,21.5,22.5,,,01740178018806fa7d01bc50005da201650017016700d7016700e100
2026-09-09T19:20:45+02:00,GaucsFig2,45.734100,11.374400,239.00,3.76,23,21.6,22.2,,,01740178018806fa7d01bc50005d5c01650017016700d8016700de00
2026-09-09T19:21:00+02:00,GaucsFig2,45.734100,11.374400,237.90,3.76,22,21.4,22.2,,,01740178018806fa7d01bc50005cee01650016016700d6016700de00
2026-09-09T19:21:15+02:00,GaucsFig2,45.734100,11.374400,237.60,3.76,21,21.4,22.2,,,01740178018806fa7d01bc50005cd001650015016700d6016700de00
